,0
0,0.45855081481
1,0.203716876179
2,0.178744035996
3,0.125646674096
4,0.100666111617
5,0.152577119123
6,0.123938501716
7,0.367740943602
8,0.0999927172205
9,0.100068181582
10,0.10557242105
11,0.107918916191
12,0.210512548404
13,0.0965624384986
14,0.102961761928
15,0.108888138527
16,0.0912653899791
17,0.109585673049
18,0.0642910089103
19,0.0589086997521
20,0.226955645901
21,0.0543386696994
22,0.131347522834
23,0.0552370699717
24,0.0434046004769
25,0.0600647114119
26,0.136202679655
27,0.0525273112883
28,0.0395798008173
29,0.0940317888376
30,0.077269204567
31,0.0352138599542
32,0.0982177018427
33,0.0322187062822
34,0.0232965132854
35,0.0546814990444
36,0.0600515635485
37,0.0864046592403
38,0.0385188296265
39,0.0436505374889
40,0.070615482786
41,0.0592484121994
42,0.0838978091367
43,0.0886419338978
44,0.0443189587433
45,0.102736165998
46,0.0284016879553
47,0.0590027375042
48,0.0409107110055
49,0.0387638229358
50,0.0261120021934
51,0.0762152888768
52,0.0480091677932
53,0.0380087781871
54,0.128560076318
55,0.0587395060715
56,0.030580287581
57,0.0695733330583
58,0.106906131649
59,0.0810446642812
60,0.0884349917501
61,0.0898862811471
62,0.0405132775095
63,0.0920613506563
64,0.0771063223882
65,0.0760693822754
66,0.0750557378427
67,0.075979631218
68,0.0803887233223
69,0.0421578819468
70,0.0618299412589
71,0.0453109088515
72,0.0541997845423
73,0.0841017897989
74,0.0308197216865
75,0.0271710126978
76,0.100538620238
77,0.0787403310027
78,0.0609379741784
79,0.0380362817081
80,0.100598271237
81,0.0605483529268
82,0.0263669291387
83,0.0510606527939
84,0.0918354413419
85,0.0210396936152
86,0.0371857238257
87,0.04202603244
88,0.0452688092514
89,0.050064545441
90,0.0539665193858
91,0.0182353661897
92,0.0395393450836
93,0.061994902412
94,0.0197132164002
95,0.0240903121208
96,0.0625696739699
97,0.0825974444745
98,0.0501379208516
99,0.025740985301
100,0.0329542223107
101,0.0428444387744
102,0.0346096281237
103,0.0254727869169
104,0.0319129325509
105,0.0463066623805
106,0.0406091197747
107,0.0408818664635
108,0.0543163817204
109,0.0578915397465
110,0.0392849044819
